Date,Year,Direction,Day,Dist,ElapsedTime,ElapsedNum,AvgPace,AvgPaceNum,AvgSpeed,TotalAscent,TotalDescent,MinTemp,MaxTemp,Calories,AvgHR,Sleep,SleepNum
2023-08-24 4:25:05,2023,SoBo,23,52.53,16:12:56,16.215556,18:31,18.516667,3.24,7144,7348,64,86,5723,113,6:17:04,6.28444
2023-08-23 4:53:52,2023,SoBo,22,49.4,15:27:05,15.451389,18:46,18.766667,3.2,7561,6588,68,86,5136,109,7:02:55,7.04861
2023-08-22 4:19:51,2023,SoBo,21,47.96,15:57:02,15.950556,19:57,19.950000,3.02,6488,7255,66,88,5060,105,6:32:58,6.54944
2023-08-21 4:21:16,2023,SoBo,20,42.1,13:39:49,13.663611,19:29,19.483333,3.07,6423,5604,68,93,4388,103,8:50:11,8.83639
2023-08-20 5:07:51,2023,SoBo,19,47.67,15:05:28,15.091111,19:00,19.000000,3.16,10553,10580,66,90,5115,111,7:24:32,7.40889
2023-08-19 4:47:50,2023,SoBo,18,47.96,16:01:02,16.017222,20:02,20.033333,2.99,10139,10237,66,90,5233,107,6:28:58,6.48278
2023-08-18 4:17:47,2023,SoBo,17,54.06,16:13:14,16.220556,18:00,18.000000,3.33,12776,12929,63,86,5914,116,6:16:46,6.27944
2023-08-17 4:17:41,2023,SoBo,16,49.23,14:26:21,14.439167,17:36,17.600000,3.38,10936,11585,72,86,5415,118,8:03:39,8.06083
2023-08-16 4:32:34,2023,SoBo,15,49.3,15:49:03,15.817500,19:15,19.250000,3.12,10638,11564,66,88,5178,110,6:40:57,6.68250
2023-08-15 4:14:01,2023,SoBo,14,49.16,16:30:48,16.513333,20:09,20.150000,2.97,11898,11450,59,84,4315,110,5:59:12,5.98667
2023-08-14 9:31:16,2023,SoBo,13,31.81,10:01:08,10.018889,18:54,18.900000,3.16,7658,6672,75,91,3402,113,12:28:52,12.48111
2023-08-13 4:20:52,2023,SoBo,12,16.21,7:22:25,7.373611,27:17,27.283333,2.2,3002,4721,64,88,1821,96,15:07:35,15.12639
2023-08-12 4:21:42,2023,SoBo,11,48.71,16:00:07,16.001944,19:42,19.700000,3.05,14404,12234,63,90,5375,110,6:29:53,6.49806
2023-08-11 4:20:30,2023,SoBo,10,43.7,15:46:45,15.779167,21:40,21.666667,2.77,11701,12310,64,91,3171,,6:43:15,6.72083
2023-08-10 4:28:30,2023,SoBo,9,35.63,15:46:28,15.774444,26:33,26.550000,2.26,12957,15533,54,88,2212,,6:43:32,6.72556
2023-08-09 6:25:18,2023,SoBo,8,34.17,14:21:17,14.354722,25:13,25.216667,2.38,11777,13008,52,93,4140,105,8:08:43,8.14528
2023-08-08 4:26:10,2023,SoBo,7,37.87,15:58:14,15.970556,25:18,25.300000,2.38,16912,14249,57,82,2401,,6:31:46,6.52944
2023-08-07 4:17:37,2023,SoBo,6,38.06,16:06:16,16.104444,25:24,25.400000,2.37,15989,15251,55,88,4818,108,6:23:44,6.39556
2023-08-06 4:16:46,2023,SoBo,5,38.78,14:27:23,14.456389,22:22,22.366667,2.68,12040,12901,54,86,4427,110,8:02:37,8.04361
2023-08-05 4:17:02,2023,SoBo,4,41.6,15:51:27,15.857500,22:52,22.866667,2.62,13734,12659,64,82,4969,113,6:38:33,6.64250
